region,horizon,model,feature,importance
central,3,xgboost,DMI_1m,0.014945553615689278
central,3,xgboost,MEI_1m,0.015347640961408615
central,3,xgboost,ONI_2m,0.004620474297553301
central,3,xgboost,DMI_2m,0.009417381137609482
central,3,xgboost,MEI_2m,0.0019747368060052395
central,3,xgboost,ONI_3m,0.0176206286996603
central,3,xgboost,DMI_3m,0.008906256407499313
central,3,xgboost,MEI_3m,0.018084915354847908
central,3,xgboost,ONI_6m,0.002680839505046606
central,3,xgboost,DMI_6m,0.03586364910006523
central,3,xgboost,MEI_6m,0.03454073891043663
central,3,xgboost,DOY_sin,0.02198939211666584
central,3,xgboost,DOY_cos,0.006022742949426174
central,7,xgboost,SST,0.007121730130165815
central,7,xgboost,Climatology,0.006415070034563541
central,7,xgboost,Threshold90,0.0052953544072806835
central,7,xgboost,Intensity,0.04483331739902496
central,7,xgboost,SST_Anomaly,0.16574475169181824
central,7,xgboost,Above_Threshold,0.004307705909013748
central,7,xgboost,Distance_to_Threshold,0.030015358701348305
central,7,xgboost,Consecutive_Hot_Days,0.0022423488553613424
central,7,xgboost,SST_mean_7d,0.014344865456223488
central,7,xgboost,SST_std_7d,0.007102271541953087
central,7,xgboost,Intensity_mean_7d,0.015251989476382732
central,7,xgboost,SST_mean_14d,0.038802310824394226
central,7,xgboost,SST_std_14d,0.0062827011570334435
central,7,xgboost,Intensity_mean_14d,0.013148956000804901
central,7,xgboost,SST_mean_21d,0.021140458062291145
central,7,xgboost,SST_std_21d,0.008246062323451042
central,7,xgboost,Intensity_mean_21d,0.004972394090145826
central,7,xgboost,SST_mean_30d,0.009730568155646324
central,7,xgboost,SST_std_30d,0.007411390542984009
central,7,xgboost,Intensity_mean_30d,0.022338377311825752
central,7,xgboost,SST_change_7d,0.010244021192193031
central,7,xgboost,SST_change_14d,0.009295573458075523
central,7,xgboost,Wind,0.013083362020552158
central,7,xgboost,Wind_Climatology,0.007713111117482185
central,7,xgboost,Wind_Anomaly,0.0173988975584507
central,7,xgboost,Wind_mean_7d,0.005292706191539764
central,7,xgboost,Wind_anom_mean_7d,0.006754147820174694
central,7,xgboost,Wind_mean_14d,0.006372365634888411
central,7,xgboost,Wind_anom_mean_14d,0.008720728568732738
central,7,xgboost,Wind_mean_21d,0.003110181773081422
central,7,xgboost,Wind_anom_mean_21d,0.010920955799520016
central,7,xgboost,Wind_mean_30d,0.003255961462855339
central,7,xgboost,Wind_anom_mean_30d,0.014023798517882824
central,7,xgboost,SLHF,0.006167007144540548
central,7,xgboost,SLHF_Anomaly,0.0055062370374798775
central,7,xgboost,SLHF_anom_mean_7d,0.006691114977002144
central,7,xgboost,SLHF_anom_mean_14d,0.014798196963965893
central,7,xgboost,SLHF_anom_mean_21d,0.003759710816666484
central,7,xgboost,SLHF_anom_mean_30d,0.005725181195884943
central,7,xgboost,SSHF,0.007251647766679525
central,7,xgboost,SSHF_Anomaly,0.009664751589298248
central,7,xgboost,SSHF_anom_mean_7d,0.013370533473789692
central,7,xgboost,SSHF_anom_mean_14d,0.005426603369414806
central,7,xgboost,SSHF_anom_mean_21d,0.008829377591609955
central,7,xgboost,SSHF_anom_mean_30d,0.008472961373627186
central,7,xgboost,ONI_0m,0.00689608883112669
central,7,xgboost,DMI_0m,0.04461145028471947
central,7,xgboost,MEI_0m,0.006947672925889492
central,7,xgboost,ONI_1m,0.03975100815296173
central,7,xgboost,DMI_1m,0.02115076407790184
central,7,xgboost,MEI_1m,0.02722359448671341
central,7,xgboost,ONI_2m,0.016626570373773575
central,7,xgboost,DMI_2m,0.010898089967668056
central,7,xgboost,MEI_2m,0.006825407966971397
central,7,xgboost,ONI_3m,0.009913483634591103
central,7,xgboost,DMI_3m,0.016368526965379715
central,7,xgboost,MEI_3m,0.013440582901239395
central,7,xgboost,ONI_6m,0.011565636843442917
central,7,xgboost,DMI_6m,0.056644972413778305
central,7,xgboost,MEI_6m,0.04051833599805832
central,7,xgboost,DOY_sin,0.01782715879380703
central,7,xgboost,DOY_cos,0.006193551234900951
central,14,xgboost,SST,0.019673753529787064
central,14,xgboost,Climatology,0.012312240898609161
central,14,xgboost,Threshold90,0.01058199629187584
central,14,xgboost,Intensity,0.022409161552786827
central,14,xgboost,SST_Anomaly,0.14223867654800415
central,14,xgboost,Above_Threshold,0.026766104623675346
central,14,xgboost,Distance_to_Threshold,0.009672693908214569
central,14,xgboost,Consecutive_Hot_Days,0.012239588424563408
central,14,xgboost,SST_mean_7d,0.010074424557387829
central,14,xgboost,SST_std_7d,0.0015717323403805494
central,14,xgboost,Intensity_mean_7d,0.00804620236158371
central,14,xgboost,SST_mean_14d,0.00989509653300047
central,14,xgboost,SST_std_14d,0.003678979817777872
central,14,xgboost,Intensity_mean_14d,0.04693649709224701
central,14,xgboost,SST_mean_21d,0.011197135783731937
central,14,xgboost,SST_std_21d,0.00254218396730721
central,14,xgboost,Intensity_mean_21d,0.014617729932069778
central,14,xgboost,SST_mean_30d,0.008717602118849754
central,14,xgboost,SST_std_30d,0.007965974509716034
central,14,xgboost,Intensity_mean_30d,0.025059795007109642
central,14,xgboost,SST_change_7d,0.009615453891456127
central,14,xgboost,SST_change_14d,0.003197350772097707
central,14,xgboost,Wind,0.0025688973255455494
central,14,xgboost,Wind_Climatology,0.018363341689109802
central,14,xgboost,Wind_Anomaly,0.014664542861282825
central,14,xgboost,Wind_mean_7d,0.004397132433950901
central,14,xgboost,Wind_anom_mean_7d,0.024125002324581146
central,14,xgboost,Wind_mean_14d,0.0035626329481601715
central,14,xgboost,Wind_anom_mean_14d,0.007712360005825758
central,14,xgboost,Wind_mean_21d,0.004109487868845463
central,14,xgboost,Wind_anom_mean_21d,0.0024991731625050306
central,14,xgboost,Wind_mean_30d,0.007842143066227436
central,14,xgboost,Wind_anom_mean_30d,0.014695722609758377
central,14,xgboost,SLHF,0.007736733183264732
central,14,xgboost,SLHF_Anomaly,0.0010804681805893779
central,14,xgboost,SLHF_anom_mean_7d,0.005661928094923496
central,14,xgboost,SLHF_anom_mean_14d,0.006538041401654482
central,14,xgboost,SLHF_anom_mean_21d,0.0039815823547542095
central,14,xgboost,SLHF_anom_mean_30d,0.007108170073479414
central,14,xgboost,SSHF,0.008213714696466923
central,14,xgboost,SSHF_Anomaly,0.004152970388531685
central,14,xgboost,SSHF_anom_mean_7d,0.00398137466982007
central,14,xgboost,SSHF_anom_mean_14d,0.0062307571060955524
central,14,xgboost,SSHF_anom_mean_21d,0.01792191155254841
central,14,xgboost,SSHF_anom_mean_30d,0.007281206082552671
central,14,xgboost,ONI_0m,0.015754064545035362
central,14,xgboost,DMI_0m,0.031011201441287994
central,14,xgboost,MEI_0m,0.03312885761260986
central,14,xgboost,ONI_1m,0.013659083284437656
central,14,xgboost,DMI_1m,0.01828615367412567
central,14,xgboost,MEI_1m,0.033649660646915436
central,14,xgboost,ONI_2m,0.008195873349905014
central,14,xgboost,DMI_2m,0.02843996323645115
central,14,xgboost,MEI_2m,0.0051990472711622715
central,14,xgboost,ONI_3m,0.056283656507730484
central,14,xgboost,DMI_3m,0.014811402186751366
central,14,xgboost,MEI_3m,0.014499478973448277
central,14,xgboost,ONI_6m,0.03358805179595947
central,14,xgboost,DMI_6m,0.03426574915647507
central,14,xgboost,MEI_6m,0.030464833602309227
central,14,xgboost,DOY_sin,0.010242688469588757
central,14,xgboost,DOY_cos,0.015080585144460201
south,3,xgboost,SST,0.003108625067397952
south,3,xgboost,Climatology,0.010824372060596943
south,3,xgboost,Threshold90,0.0021515984553843737
south,3,xgboost,Intensity,0.04672360047698021
south,3,xgboost,SST_Anomaly,0.2136514037847519
south,3,xgboost,Above_Threshold,0.00546469958499074
south,3,xgboost,Distance_to_Threshold,0.02116999961435795
south,3,xgboost,Consecutive_Hot_Days,0.020389484241604805
south,3,xgboost,SST_mean_7d,0.009242746978998184
south,3,xgboost,SST_std_7d,0.0062050712294876575
south,3,xgboost,Intensity_mean_7d,0.009383445605635643
south,3,xgboost,SST_mean_14d,0.007314016576856375
south,3,xgboost,SST_std_14d,0.004071754869073629
south,3,xgboost,Intensity_mean_14d,0.025439629331231117
south,3,xgboost,SST_mean_21d,0.012761864811182022
south,3,xgboost,SST_std_21d,0.003460906445980072
south,3,xgboost,Intensity_mean_21d,0.022250432521104813
south,3,xgboost,SST_mean_30d,0.005901589058339596
south,3,xgboost,SST_std_30d,0.0037585555110126734
south,3,xgboost,Intensity_mean_30d,0.0035935156047344208
south,3,xgboost,SST_change_7d,0.020068153738975525
south,3,xgboost,SST_change_14d,0.012263534590601921
south,3,xgboost,Wind,0.019907280802726746
south,3,xgboost,Wind_Climatology,0.0028926143422722816
south,3,xgboost,Wind_Anomaly,0.00830286368727684
south,3,xgboost,Wind_mean_7d,0.002024180255830288
south,3,xgboost,Wind_anom_mean_7d,0.0027973847463726997
south,3,xgboost,Wind_mean_14d,0.023963984102010727
south,3,xgboost,Wind_anom_mean_14d,0.0029754023998975754
south,3,xgboost,Wind_mean_21d,0.003361201612278819
south,3,xgboost,Wind_anom_mean_21d,0.003249400993809104
south,3,xgboost,Wind_mean_30d,0.01376523170620203
